,Unnamed: 0,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals_per90,G+A_per90,G-PK_per90,G+A-PK_per90,xG_per90,xG+xAG_per90,npxG_per90,npxG+xAG_per90,Take_Ons_Attempted,Take_Ons_Succ,Take_Ons_Succ%,Tackled_Take_Ons,Tackled_Take_Ons%,Touches_per_90,Touches_Def_Pen_per_90,Touches_Def_3rd_per_90,Touches_Mid_3rd_per_90,Touches_Att_3rd_per_90,Touches_Att_Pen_per_90,Tocuhes_Live_Balls_per_90,Take_Ons_Attempted_per_90,Take_Ons_Succ_per_90,Tackled_Take_Ons_per_90,Carries_per_90,Total_Distance_per_90,Progressive_Distance_Carried_per_90,Progressive_Carries_per_90,1/3_Carries_per_90,Carries_Penalty_Area_per_90,Miscontrols_per_90,Dispossessed_per_90,Passes_Received_per_90,Progressive_Passes_Received_per_90,Shot_Creating_Action_per90,Goal_Creating_Action_90,Pass_Live_Shot_per_90,Pass_Dead_Shot_per_90,Take_Ons_Shot_per_90,Shot-Shot_per_90,Fouls_drawn_Shot_per_90,Defensive_Shot_per_90,Pass_Live_Goal_per_90,Pass_Dead_Goal_per_90,Take_Ons_Goal_per_90,Shot_Goal_per_90,Fouls_Drawn_Goal_per_90,Defensive_Goal_per_90,Passes_Total_Cmp,Passes_Total_Att,Passes_Total_Cmp%,Passes_TotDist,Passes_PrgDist,Passes_Short_Cmp,Passes_Short_Att,Passes_Short_Cmp%,Passes_Medium_Cmp,Passes_Medium_Att,Passes_Medium_Cmp%,Passes_Long_Cmp,Passes_Long_Att,Passes_Long_Cmp%,Assists_per_90,xAG_per_90,xA_per_90,A-xAG_per_90,Key_Passes_per_90,Passes_1/3_per_90,Passes_Penalty_Area_per_90,Crosses_Penalty_Area_per_90,Progressive_Passes_per_90,Passes_Attempted_per_90,Live_Ball_Passes_per_90,Dead_Ball_Passes_per_90,Free_Kick_Passes_per_90,Through_Balls_per_90,Switches_per_90,Crosses_per_90,Throw_Ins_Taken_per_90,Corner_Kicks_per_90,In_Corner_Kicks_per_90,Out_Corner_Kicks_per_90,Str_Corner_Kicks_per_90,Passes_Cmp_per_90,Passes_Off_per_90,Passes_Blocked_per_90,Shots_total_per90,Shots_on_target_per90,Goals_per_shot,Goals_per_shot_on_target,Npxg_per_shot,Xg_net,Npxg_net,Percentage_of_Aerials_Won,Yellow_Cards_per_90,Red_Cards_per_90,Second_Yellow_Card_per_90,Fouls_Committed_per_90,Fouls_Drawn_per_90,Offsides_per_90,Interceptions_per_90,Tackles_Won_per_90,Penalty_Kicks_Won_per_90,Penalty_Kicks_Conceded_per_90,Ball_Recoveries_per_90,Aerials_Won_per_90,Aerials_Lost_per_90,Tackles_per_90,Tackles_Def_3rd_per_90,Tackles_Mid_3rd_per_90,Tackles_Att_3rd_per_90,Dribblers_Tackled_per_90,Dribblers_Challenged_per_90,Dribblers_Tackle_Lost_per_90,Blocks_per_90,Shots_Blocked_per_90,Tackles+Interceptions_per_90,Clearances_per_90,Errors_Shots_per_90,Dribblers_Tackle_W%
1074,1164,Adam Lallana,eng ENG,MF,Southampton,eng Premier League,36.0,1988.0,8,5,315,3.5,0.0,0.57,0.0,0.57,0.05,0.3,0.05,0.3,9,5,55.6,2,22.2,78.57,4.57,22.57,39.43,16.86,1.71,78.57,2.57,1.43,0.57,45.14,218.86,95.71,1.43,2.0,0.0,2.29,1.71,62.29,2.29,2.0,0.57,1.71,0.0,0.0,0.0,0.29,0.0,0.57,0.0,0.0,0.0,0.0,0.0,200,228,87.7,2612,842,134,147,91.2,54,57,94.7,3,7,42.9,0.57,0.26,0.11,0.31,0.86,5.43,2.29,0.57,6.29,65.14,63.71,1.14,0.86,0.29,0.0,0.57,0.0,0.0,0.0,0.0,0.0,57.14,0.29,0.86,0.86,0.0,0.0,0.0,0.06,-0.2,-0.2,33.3,1.14,0.0,0.0,2.0,2.0,0.0,1.14,1.43,0.0,0.0,4.86,0.29,0.57,1.71,0.86,0.86,0.0,0.57,2.29,1.71,1.14,0.29,2.86,1.43,0.0,25.0
1083,1174,Roméo Lavia,be BEL,MF,Chelsea,eng Premier League,20.0,2004.0,7,5,347,3.9,0.0,0.26,0.0,0.26,0.0,0.16,0.0,0.16,7,6,85.7,1,14.3,56.15,2.05,14.62,32.05,10.0,0.0,56.15,1.79,1.54,0.26,35.64,171.28,68.46,0.51,1.03,0.0,0.0,1.54,40.0,1.28,1.56,0.26,1.54,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,171,185,92.4,2936,692,82,92,89.1,79,80,98.8,8,10,80.0,0.26,0.15,0.05,0.1,1.28,4.87,0.77,0.0,2.82,47.44,46.92,0.51,0.51,0.26,0.51,0.0,0.0,0.0,0.0,0.0,0.0,43.85,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.51,0.0,0.0,1.28,0.26,0.0,1.79,1.28,0.0,0.26,4.1,1.28,0.0,2.82,1.03,1.54,0.26,1.28,2.82,1.54,1.03,0.0,4.62,1.28,0.0,45.5
1084,1175,Valentino Lazaro,at AUT,DF,Torino,it Serie A,28.0,1996.0,13,12,1009,11.2,0.0,0.36,0.0,0.36,0.05,0.21,0.05,0.21,17,5,29.4,10,58.8,60.0,2.32,11.79,26.79,21.7,1.07,60.0,1.52,0.45,0.89,30.63,119.82,59.29,1.43,0.89,0.36,1.25,0.62,38.66,5.27,1.78,0.45,1.16,0.45,0.0,0.18,0.0,0.0,0.27,0.18,0.0,0.0,0.0,0.0,450,583,77.2,7747,2185,207,230,90.0,199,247,80.6,36,81,44.4,0.36,0.16,0.17,0.2,1.34,2.14,0.89,0.54,3.04,52.05,42.86,9.02,0.89,0.0,0.0,5.71,6.07,2.05,1.25,0.71,0.0,40.18,0.18,0.89,0.71,0.09,0.0,0.0,0.07,-0.6,-0.6,37.5,0.27,0.0,0.0,1.34,0.45,0.18,0.27,0.54,0.0,0.09,3.48,0.54,0.89,1.34,0.62,0.54,0.18,0.8,1.16,0.36,0.98,0.27,1.61,1.52,0.09,69.2
1087,1178,Julien Le Cardinal,fr FRA,DF,Brest,fr Ligue 1,27.0,1997.0,7,7,613,6.8,0.0,0.0,0.0,0.0,0.05,0.06,0.05,0.06,1,1,100.0,0,0.0,62.94,8.53,35.59,25.44,2.35,1.47,62.94,0.15,0.15,0.0,31.91,164.26,71.18,0.44,0.29,0.0,0.15,0.44,38.82,0.15,0.73,0.0,0.59,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292,342,85.4,6163,2380,97,109,89.0,143,152,94.1,48,73,65.8,0.0,0.0,0.01,0.0,0.29,2.5,0.0,0.0,2.5,50.29,47.94,2.06,1.91,0.0,0.74,0.15,0.0,0.0,0.0,0.0,0.0,42.94,0.29,0.0,1.03,0.44,0.0,0.0,0.05,-0.3,-0.3,60.9,0.15,0.0,0.0,1.03,0.44,0.0,2.94,1.03,0.0,0.0,3.24,2.06,1.32,1.76,1.03,0.74,0.0,0.88,1.47,0.59,1.47,1.03,4.71,4.12,0.0,60.0
1093,1186,Jordan Lefort,fr FRA,DF,Angers,fr Ligue 1,31.0,1993.0,12,12,1080,12.0,0.0,0.08,0.0,0.08,0.0,0.08,0.0,0.08,7,3,42.9,2,28.6,66.25,8.25,38.75,23.92,3.92,0.5,66.25,0.58,0.25,0.17,35.17,164.92,104.92,0.08,0.17,0.0,0.42,0.08,43.33,0.58,1.0,0.08,0.83,0.0,0.0,0.0,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.0,550,670,82.1,10100,4895,233,251,92.8,258,286,90.2,56,112,50.0,0.08,0.08,0.05,0.01,0.58,2.67,0.5,0.25,2.83,55.83,52.67,2.83,2.5,0.08,0.08,0.5,0.33,0.0,0.0,0.0,0.0,45.83,0.33,0.75,0.08,0.0,0.0,0.0,0.04,0.0,0.0,61.5,0.08,0.0,0.0,0.5,0.58,0.0,1.08,1.33,0.0,0.08,3.5,1.33,0.83,1.67,1.33,0.25,0.08,1.0,1.67,0.67,1.75,0.83,2.75,4.75,0.08,60.0
1095,1188,Maxim Leitsch,de GER,DF,Mainz 05,de Bundesliga,26.0,1998.0,8,6,549,6.1,0.16,0.16,0.16,0.16,0.19,0.22,0.19,0.22,1,0,0.0,0,0.0,60.98,8.85,29.18,28.03,3.77,1.48,60.98,0.16,0.0,0.0,20.98,94.59,41.15,0.66,0.82,0.0,0.66,0.49,30.16,0.33,1.15,0.0,0.98,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226,294,76.9,3793,1268,105,123,85.4,101,124,81.5,16,39,41.0,0.0,0.03,0.02,-0.03,0.33,3.93,0.0,0.0,3.44,48.2,44.26,3.93,0.66,0.0,0.0,0.33,1.64,0.0,0.0,0.0,0.0,37.05,0.0,0.33,0.82,0.16,0.2,1.0,0.23,-0.1,-0.1,45.5,0.0,0.0,0.0,1.31,0.33,0.0,1.31,0.49,0.0,0.0,5.08,2.46,2.95,1.8,0.98,0.49,0.33,1.15,1.31,0.16,1.48,0.66,3.11,5.25,0.16,87.5
1097,1190,Iñigo Lekue,es ESP,DF,Athletic Club,es La Liga,31.0,1993.0,6,3,318,3.5,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,3,1,33.3,2,66.7,60.86,4.29,17.71,26.57,16.86,0.29,60.86,0.86,0.29,0.57,27.43,115.43,62.57,1.43,0.86,0.0,0.29,0.29,32.0,2.29,1.13,0.0,0.86,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,141,184,76.6,2217,754,68,79,86.1,62,77,80.5,7,20,35.0,0.0,0.03,0.0,-0.03,0.86,4.57,0.0,0.0,5.14,52.57,42.57,9.43,1.14,0.0,0.0,2.57,8.29,0.0,0.0,0.0,0.0,40.29,0.57,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.29,0.0,0.0,0.86,0.29,0.0,0.86,0.86,0.0,0.0,4.29,0.57,0.0,1.14,0.86,0.29,0.0,0.86,1.71,0.86,0.57,0.29,2.0,3.71,0.57,50.0
1102,1195,Clément Lenglet,fr FRA,DF,Atlético Madrid,es La Liga,29.0,1995.0,5,5,395,4.4,0.0,0.0,0.0,0.0,0.08,0.09,0.08,0.09,1,1,100.0,0,0.0,66.36,6.36,29.32,33.86,3.41,0.91,66.36,0.23,0.23,0.0,47.05,287.27,191.14,1.59,1.36,0.0,0.23,0.0,49.77,0.0,1.14,0.0,0.91,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216,250,86.4,4107,1700,73,78,93.6,123,131,93.9,19,36,52.8,0.0,0.02,0.02,-0.02,0.45,3.86,0.0,0.0,4.32,56.82,55.68,1.14,1.14,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,49.09,0.0,0.68,0.46,0.0,0.0,0.0,0.18,-0.4,-0.4,41.7,0.91,0.0,0.0,2.73,1.36,0.23,1.59,0.45,0.0,0.0,3.86,2.27,3.18,0.45,0.23,0.23,0.0,0.23,0.45,0.23,0.68,0.23,2.05,4.77,0.0,50.0
1105,1200,Johann Lepenant,fr FRA,MF,Nantes,fr Ligue 1,22.0,2002.0,9,7,624,6.9,0.29,0.43,0.29,0.43,0.07,0.17,0.07,0.17,9,6,66.7,3,33.3,43.91,1.01,6.81,22.75,14.35,1.74,43.91,1.3,0.87,0.43,21.45,114.49,50.0,1.45,1.16,0.14,1.3,0.87,27.83,4.06,2.02,0.58,1.74,0.0,0.29,0.0,0.0,0.0,0.43,0.0,0.14,0.0,0.0,0.0,188,235,80.0,2893,702,102,116,87.9,70,82,85.4,10,17,58.8,0.14,0.1,0.17,0.04,0.43,2.9,0.58,0.0,4.2,34.06,33.62,0.43,0.0,0.0,0.0,0.87,0.14,0.14,0.14,0.0,0.0,27.25,0.0,1.3,1.15,0.43,0.25,0.67,0.06,1.5,1.5,45.5,0.14,0.0,0.0,2.03,1.59,0.0,1.16,1.01,0.0,0.0,2.75,0.72,0.87,2.46,0.87,1.16,0.43,0.72,2.46,1.74,1.16,0.29,3.62,0.58,0.0,29.4
1109,1204,Jamie Leweling,de GER,"FW,MF",Stuttgart,de Bundesliga,23.0,2001.0,9,9,658,7.3,0.14,0.14,0.14,0.14,0.06,0.26,0.06,0.26,40,21,52.5,18,45.0,46.58,0.96,4.52,19.18,23.84,4.11,46.58,5.48,2.88,2.47,31.64,256.58,121.64,3.42,2.19,1.23,2.05,2.05,36.16,10.27,2.88,0.27,1.92,0.0,0.55,0.14,0.27,0.0,0.14,0.0,0.0,0.14,0.0,0.0,182,254,71.7,2745,649,109,128,85.2,62,82,75.6,9,22,40.9,0.0,0.21,0.15,-0.21,1.37,1.64,1.64,0.82,3.56,34.79,33.01,1.37,0.14,0.0,0.0,3.42,1.23,0.0,0.0,0.0,0.0,24.93,0.41,2.19,1.64,1.09,0.08,0.13,0.04,0.5,0.5,75.0,0.27,0.0,0.0,1.23,1.23,0.14,0.55,0.27,0.14,0.0,4.11,0.41,0.14,0.68,0.27,0.0,0.41,0.41,1.23,0.82,1.37,0.0,1.23,0.96,0.0,33.3
1110,1205,Rico Lewis,eng ENG,"DF,MF",Manchester City,eng Premier League,20.0,2004.0,11,10,845,9.4,0.0,0.21,0.0,0.21,0.08,0.11,0.08,0.11,8,4,50.0,4,50.0,63.09,2.45,10.21,29.68,23.62,3.4,63.09,0.85,0.43,0.43,34.79,181.28,96.6,2.34,1.49,0.64,1.06,1.17,44.15,4.57,1.81,0.21,1.7,0.0,0.0,0.0,0.11,0.0,0.21,0.0,0.0,0.0,0.0,0.0,471,514,91.6,6619,1103,289,310,93.2,160,169,94.7,13,17,76.5,0.21,0.03,0.05,0.18,0.53,4.26,0.74,0.0,5.0,54.68,49.68,5.0,1.06,0.0,0.0,0.21,3.94,0.0,0.0,0.0,0.0,50.11,0.0,0.85,0.53,0.0,0.0,0.0,0.15,-0.8,-0.8,50.0,0.21,0.0,0.0,0.53,1.81,0.0,0.96,0.96,0.0,0.0,4.68,0.32,0.32,2.02,0.96,0.85,0.21,0.64,0.85,0.21,1.38,0.21,2.98,2.13,0.11,75.0
1116,1211,Jesper Lindstrøm,dk DEN,FW,Everton,eng Premier League,24.0,2000.0,8,5,420,4.7,0.0,0.0,0.0,0.0,0.24,0.42,0.24,0.42,14,2,14.3,11,78.6,49.79,1.06,6.81,17.02,26.38,2.98,49.79,2.98,0.43,2.34,21.91,136.81,80.85,2.98,1.49,0.43,2.13,2.55,28.72,7.02,4.5,0.0,2.55,1.06,0.21,0.43,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108,161,67.1,1690,518,72,82,87.8,23,39,59.0,10,24,41.7,0.0,0.17,0.17,-0.17,1.91,1.06,0.43,0.43,1.49,34.26,28.72,5.11,1.28,0.21,0.0,7.23,0.43,3.4,1.7,0.85,0.21,22.98,0.43,1.7,3.0,1.29,0.0,0.0,0.08,-1.1,-1.1,75.0,0.0,0.0,0.0,0.43,0.64,0.21,0.64,1.06,0.0,0.0,4.47,0.64,0.21,2.98,1.06,1.91,0.0,1.06,2.98,1.91,1.7,0.43,3.62,0.64,0.0,35.7
1117,1212,Karol Linetty,pl POL,MF,Torino,it Serie A,29.0,1995.0,11,9,764,8.5,0.12,0.12,0.12,0.12,0.03,0.04,0.03,0.04,11,3,27.3,6,54.5,44.71,3.06,12.12,27.29,6.24,0.24,44.71,1.29,0.35,0.71,24.0,120.71,50.0,0.71,1.18,0.12,1.06,0.71,28.47,0.71,1.41,0.0,1.18,0.0,0.12,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,255,295,86.4,4474,1081,119,130,91.5,99,113,87.6,30,38,78.9,0.0,0.01,0.02,-0.01,0.59,2.94,0.59,0.12,2.47,34.71,33.41,1.29,0.94,0.12,0.0,0.12,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.47,0.59,0.12,0.2,1.0,0.05,0.8,0.8,25.0,0.35,0.0,0.0,1.76,1.06,0.0,0.59,1.29,0.0,0.0,4.24,0.35,1.06,2.0,0.82,1.18,0.0,1.06,2.0,0.94,1.29,0.47,2.59,1.65,0.12,52.9
1119,1214,Pol Lirola,es ESP,DF,Marseille,fr Ligue 1,27.0,1997.0,7,4,342,3.8,0.26,0.53,0.26,0.53,0.13,0.17,0.13,0.17,2,1,50.0,1,50.0,53.95,2.37,14.74,24.74,14.74,1.84,53.95,0.53,0.26,0.26,27.37,117.37,51.84,1.05,0.0,0.53,0.79,0.79,33.42,5.53,1.58,0.26,0.79,0.53,0.0,0.26,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,134,174,77.0,2038,376,73,85,85.9,51,62,82.3,4,12,33.3,0.26,0.05,0.03,0.21,0.79,0.53,0.53,0.26,1.84,45.79,37.89,7.63,0.26,0.0,0.0,1.58,7.37,0.0,0.0,0.0,0.0,35.26,0.26,1.05,1.05,0.26,0.25,1.0,0.12,0.5,0.5,33.3,0.0,0.0,0.0,1.32,1.32,0.0,0.0,1.32,0.0,0.0,2.63,0.53,1.05,2.11,1.05,1.05,0.0,0.79,2.37,1.58,1.05,0.53,2.11,1.05,0.0,33.3
1120,1215,Dailon Livramento,cv CPV,"FW,MF",Hellas Verona,it Serie A,23.0,2001.0,9,5,422,4.7,0.21,0.43,0.21,0.43,0.18,0.31,0.18,0.31,8,1,12.5,6,75.0,25.96,0.43,2.34,10.21,14.47,2.55,25.96,1.7,0.21,1.28,14.68,111.7,54.68,2.13,1.06,0.64,1.7,1.91,18.09,5.74,1.71,0.43,1.06,0.0,0.21,0.0,0.21,0.21,0.21,0.0,0.21,0.0,0.0,0.0,38,71,53.5,490,138,20,33,60.6,12,19,63.2,1,5,20.0,0.21,0.13,0.06,0.09,0.64,0.64,0.43,0.21,1.49,15.11,15.11,0.0,0.0,0.0,0.0,2.13,0.0,0.0,0.0,0.0,0.0,8.09,0.0,1.49,1.49,0.21,0.14,1.0,0.12,0.2,0.2,35.1,0.21,0.21,0.0,1.91,0.43,1.06,0.43,1.49,0.0,0.0,2.13,2.77,5.11,1.91,0.21,0.64,1.06,0.64,1.28,0.64,0.85,0.0,2.34,0.64,0.0,50.0
1121,1216,Valentino Livramento,eng ENG,DF,Newcastle Utd,eng Premier League,22.0,2002.0,12,9,800,8.9,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,13,6,46.2,3,23.1,58.88,4.61,22.25,22.58,14.94,0.34,58.88,1.46,0.67,0.34,30.22,175.28,83.71,1.91,1.24,0.0,0.56,1.57,30.34,4.16,1.35,0.0,1.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344,426,80.8,5231,1647,188,217,86.6,143,166,86.1,12,29,41.4,0.0,0.06,0.03,-0.06,0.79,2.92,1.01,0.45,4.49,47.87,39.66,7.98,0.34,0.0,0.0,2.02,7.53,0.11,0.0,0.0,0.0,38.65,0.22,1.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.2,0.0,0.0,0.0,0.34,1.46,0.0,1.12,1.24,0.0,0.0,6.52,1.35,1.24,2.02,1.46,0.45,0.11,1.35,1.91,0.56,1.46,0.45,3.15,3.15,0.11,70.6
1125,1220,Giovani Lo Celso,ar ARG,MF,Betis,es La Liga,28.0,1996.0,8,5,527,5.9,0.85,1.02,0.68,0.85,0.38,0.74,0.24,0.61,27,10,37.0,13,48.1,76.95,0.34,6.27,36.1,35.42,3.73,76.78,4.58,1.69,2.2,46.1,222.2,92.2,1.36,2.2,0.34,2.03,1.69,53.9,4.92,7.33,0.68,5.08,1.86,0.0,0.0,0.34,0.0,0.68,0.0,0.0,0.0,0.0,0.0,296,374,79.1,5216,1863,130,152,85.5,113,131,86.3,39,66,59.1,0.17,0.37,0.39,-0.2,2.88,7.29,2.88,0.0,9.83,63.39,53.05,10.34,4.92,0.85,0.85,7.29,0.68,4.75,2.2,1.53,0.0,50.17,0.0,1.02,2.73,1.54,0.25,0.44,0.09,2.8,2.6,40.0,0.17,0.0,0.0,0.85,5.25,0.0,0.17,1.19,0.0,0.0,5.25,0.34,0.51,2.03,0.51,0.68,0.85,1.02,1.53,0.51,0.51,0.0,2.2,0.17,0.0,66.7
1126,1221,Stanislav Lobotka,sk SVK,MF,Napoli,it Serie A,30.0,1994.0,9,8,728,8.1,0.0,0.0,0.0,0.0,0.02,0.09,0.02,0.09,8,5,62.5,3,37.5,64.81,2.22,14.57,39.01,11.98,0.62,64.81,0.99,0.62,0.37,36.17,172.72,76.91,1.23,0.99,0.12,0.62,0.37,48.02,1.6,2.23,0.37,2.22,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,425,472,90.0,7185,1847,199,222,89.6,195,203,96.1,26,34,76.5,0.0,0.07,0.05,-0.07,0.74,4.07,0.74,0.0,4.94,58.27,57.16,0.86,0.86,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.0,52.47,0.25,0.74,0.25,0.0,0.0,0.0,0.09,-0.2,-0.2,33.3,0.25,0.0,0.0,1.23,0.99,0.0,0.62,1.23,0.0,0.0,7.41,0.12,0.25,2.22,0.25,1.23,0.74,0.74,0.99,0.25,0.74,0.25,2.84,1.23,0.0,75.0
1136,1231,Roberto López,es ESP,MF,Leganés,es La Liga,24.0,2000.0,9,3,358,4.0,0.0,0.25,0.0,0.25,0.12,0.3,0.12,0.3,4,2,50.0,2,50.0,55.25,1.0,10.0,29.5,16.25,0.25,55.25,1.0,0.5,0.5,27.25,125.25,59.5,0.75,0.75,0.0,0.75,1.0,32.5,2.25,3.27,0.25,1.5,1.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,144,193,74.6,2363,718,74,88,84.1,42,49,85.7,18,36,50.0,0.25,0.18,0.1,0.08,2.0,5.5,0.5,0.25,5.0,48.25,41.25,6.0,2.75,0.0,0.75,5.25,0.25,2.5,1.25,0.75,0.0,36.0,1.0,1.25,1.26,0.0,0.0,0.0,0.09,-0.5,-0.5,16.7,0.0,0.0,0.0,0.0,0.75,0.0,0.25,1.25,0.0,0.0,6.5,0.25,1.25,1.75,1.0,0.75,0.0,1.0,3.25,2.25,1.0,0.0,2.0,1.75,0.5,30.8
1138,1233,Iker Losada,es ESP,"MF,FW",Betis,es La Liga,23.0,2001.0,9,3,300,3.3,0.0,0.0,0.0,0.0,0.14,0.23,0.14,0.23,6,2,33.3,4,66.7,47.27,0.3,7.88,16.97,23.33,1.82,47.27,1.82,0.61,1.21,26.36,152.12,80.3,2.73,1.82,0.3,1.82,1.52,33.64,4.24,2.4,0.0,2.12,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90,120,75.0,1095,276,64,75,85.3,20,29,69.0,1,4,25.0,0.0,0.09,0.06,-0.09,1.82,0.91,1.52,0.3,3.33,36.36,36.36,0.0,0.0,0.61,0.0,1.21,0.0,0.0,0.0,0.0,0.0,27.27,0.0,1.52,1.5,0.3,0.0,0.0,0.1,-0.5,-0.5,50.0,0.0,0.0,0.0,0.3,0.61,0.0,0.91,2.12,0.0,0.0,5.15,0.91,0.91,3.03,0.61,1.21,1.21,1.52,2.73,1.21,0.3,0.0,3.94,0.61,0.0,55.6
1139,1234,Anthony Losilla,fr FRA,MF,Bochum,de Bundesliga,38.0,1986.0,10,9,755,8.4,0.0,0.0,0.0,0.0,0.01,0.06,0.01,0.06,3,1,33.3,2,66.7,39.64,2.02,10.48,22.74,6.67,0.24,39.64,0.36,0.12,0.24,16.9,59.64,21.07,0.12,0.12,0.0,0.83,0.36,22.14,0.83,1.79,0.12,1.79,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,209,263,79.5,3369,1148,86,102,84.3,92,116,79.3,14,23,60.9,0.0,0.05,0.06,-0.05,0.71,1.43,0.48,0.36,3.21,31.31,30.6,0.6,0.6,0.0,0.12,0.36,0.0,0.0,0.0,0.0,0.0,24.88,0.12,0.24,0.36,0.0,0.0,0.0,0.03,-0.1,-0.1,47.6,0.0,0.0,0.0,1.31,0.48,0.12,1.31,1.43,0.0,0.0,3.21,1.19,1.31,2.26,1.19,0.95,0.12,1.31,2.5,1.19,1.55,0.71,3.57,1.19,0.12,52.4
1143,1238,Pol Lozano,es ESP,MF,Espanyol,es La Liga,25.0,1999.0,9,7,569,6.3,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,3,0,0.0,2,66.7,47.62,2.54,14.13,26.67,7.3,0.0,47.62,0.48,0.0,0.32,22.7,106.51,31.11,0.0,0.16,0.0,1.43,0.79,27.3,0.63,1.99,0.15,1.27,0.63,0.0,0.0,0.0,0.16,0.16,0.0,0.0,0.0,0.0,0.0,192,240,80.0,3674,1095,74,87,85.1,91,110,82.7,23,31,74.2,0.0,0.03,0.03,-0.03,1.11,4.13,0.16,0.0,4.29,38.1,35.71,2.22,1.11,0.16,0.95,0.95,0.32,0.79,0.16,0.32,0.0,30.48,0.16,0.95,0.16,0.0,0.0,0.0,0.02,0.0,0.0,44.4,0.63,0.0,0.0,2.86,0.48,0.0,0.79,2.22,0.0,0.0,3.97,0.63,0.79,3.02,1.27,1.27,0.48,1.43,3.17,1.75,1.11,0.32,3.81,1.59,0.0,45.0
1151,1246,Castello Lukeba,fr FRA,DF,RB Leipzig,de Bundesliga,21.0,2002.0,8,8,702,7.8,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,9,5,55.6,3,33.3,78.33,7.69,35.26,39.49,4.23,0.64,78.33,1.15,0.64,0.38,43.97,188.08,112.44,0.64,0.51,0.0,1.15,0.38,55.26,0.26,1.15,0.13,1.03,0.0,0.13,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,456,530,86.0,8088,3538,196,216,90.7,227,251,90.4,32,52,61.5,0.0,0.01,0.03,-0.01,0.26,3.72,0.38,0.13,3.08,67.95,63.97,3.85,1.28,0.0,0.77,0.26,2.31,0.0,0.0,0.0,0.0,58.46,0.13,0.64,0.13,0.0,0.0,0.0,0.01,0.0,0.0,64.3,0.13,0.0,0.0,0.51,0.9,0.0,0.51,0.9,0.0,0.0,3.46,1.15,0.64,2.18,0.9,0.9,0.38,0.77,1.15,0.38,1.67,0.77,2.69,3.59,0.0,66.7
1165,1262,Shuto Machino,jp JPN,"FW,MF",Holstein Kiel,de Bundesliga,25.0,1999.0,11,6,526,5.8,0.68,0.68,0.51,0.51,0.41,0.46,0.27,0.33,2,2,100.0,0,0.0,40.86,0.86,6.21,17.76,16.9,2.24,40.69,0.34,0.34,0.0,20.17,94.83,38.97,1.21,0.86,0.52,1.72,1.55,27.24,4.66,2.74,0.34,2.41,0.34,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,126,193,65.3,2272,787,62,71,87.3,43,62,69.4,19,43,44.2,0.0,0.05,0.05,-0.05,0.86,1.9,0.69,0.17,2.93,33.28,26.38,6.72,0.0,0.0,0.0,1.38,5.52,0.0,0.0,0.0,0.0,21.72,0.17,1.21,2.22,1.2,0.23,0.43,0.12,1.6,1.4,53.3,0.17,0.0,0.0,0.52,0.86,0.52,0.52,0.34,0.0,0.0,2.24,1.38,1.21,0.34,0.17,0.0,0.17,0.34,0.86,0.52,0.34,0.0,0.86,0.34,0.0,40.0
